SeriousDlqin2yrs,age,NumberOfTime30-59DaysPastDueNotWorse,DebtRatio,NumberOfTimes90DaysLate,NumberOfTime60-89DaysPastDueNotWorse,MonthlyIncome,NumberOfDependents
0,64,0,0.249908,0,0,8158.0,0.0
0,58,0,3870.0,0,0,5166.0,0.0
0,41,0,0.45612700000000006,0,0,6666.0,0.0
0,43,0,0.00018999999999999998,0,0,10500.0,2.0
1,49,0,0.27182,0,0,400.0,0.0
0,55,0,0.324678,0,0,8934.0,0.0
0,25,0,0.473421,0,0,2200.0,0.0
1,31,0,0.017415,0,0,4076.0,0.0
1,37,2,0.23371,0,0,7166.0,0.0
0,55,0,0.420954,0,0,3750.0,0.0
1,53,10,0.33161999999999997,3,1,3500.0,0.0
0,57,0,0.33716599999999997,0,0,16000.0,0.0
1,39,8,0.9611709999999999,0,1,9116.0,1.0
0,61,0,0.549059,0,0,5900.0,1.0
0,78,0,888.0,0,0,5166.0,0.0
0,58,0,1328.0,0,0,5166.0,2.0
0,30,0,0.41755600000000004,0,0,2904.0,0.0
0,27,0,10.0,0,0,5166.0,0.0
0,60,0,0.38618600000000003,0,0,9106.0,1.0
0,26,0,0.07322000000000001,0,1,6500.0,0.0
0,56,0,0.494101,0,0,5000.0,0.0
0,57,0,0.257227,0,0,15600.0,0.0
0,31,0,0.46300699999999995,0,0,5500.0,1.0
0,62,0,0.372231,0,0,8577.0,2.0
0,50,0,0.582908,0,0,8038.0,2.0
1,42,3,1296.0,0,0,5166.0,0.0
0,81,0,0.000678,0,0,5899.0,0.0
0,80,0,0.0,0,0,1600.0,0.0
0,73,0,0.11141600000000002,0,0,29133.0,0.0
1,59,5,3252.0,1,0,5166.0,0.0
0,41,1,1421.0,0,0,5166.0,0.0
0,30,0,1513.0,0,0,5166.0,0.0
1,48,0,0.402904,0,0,8609.0,4.0
0,55,0,805.0,0,0,5166.0,0.0
0,29,0,0.224753,0,0,9000.0,0.0
0,69,1,5089.0,0,0,5166.0,0.0
1,39,1,0.388264,0,0,12900.0,2.0
1,47,3,2078.0,0,1,5166.0,0.0
0,50,0,0.420138,0,0,4200.0,3.0
0,25,0,0.020672,0,0,1547.0,1.0
1,42,0,2.644356,0,0,1000.0,1.0
0,37,0,0.335494,0,0,14500.0,0.0
0,71,0,1419.0,0,0,5166.0,0.0
1,62,0,0.43473500000000004,0,0,2734.0,0.0
0,59,0,2.094595,0,0,2515.0,0.0
1,58,1,0.14514200000000002,1,0,2500.0,0.0
0,61,0,0.0,0,0,7085.0,1.0
1,43,0,1.4168610000000001,0,0,3000.0,0.0
0,64,0,0.368246,0,1,4811.0,0.0
1,47,1,0.5042989999999999,3,0,5000.0,2.0
1,58,1,0.19515,1,0,7916.0,1.0
0,78,0,0.006672,0,0,2397.0,0.0
1,51,2,0.0045,0,0,36000.0,0.0
1,66,0,0.417904,0,1,4780.0,0.0
0,31,0,0.136907,0,0,2928.0,0.0
0,78,0,0.008555,0,0,2220.0,0.0
0,23,98,0.0,98,98,5166.0,0.0
0,56,0,126.0,1,0,5166.0,0.0
0,83,0,0.146319,0,0,4250.0,0.0
1,41,2,0.16356199999999999,0,0,9500.0,2.0
0,52,0,0.001852,0,0,8100.0,0.0
0,57,0,0.823987,0,0,1800.0,0.0
0,25,0,0.182396,0,0,3146.0,2.0
1,48,8,3082.0,1,2,5166.0,0.0
1,53,1,0.381117,0,0,13016.0,4.0
1,67,3,1.41014,4,1,4200.0,0.0
0,39,0,0.468056,0,0,10846.0,1.0
1,56,0,2132.0,0,0,5166.0,0.0
0,45,0,0.432022,0,0,5920.0,4.0
0,39,0,0.545593,0,0,4583.0,0.0
0,68,0,0.255769,0,0,10833.0,0.0
0,59,0,0.350526,0,0,11593.0,1.0
0,54,0,953.0,0,0,5166.0,0.0
0,63,1,0.134183,0,0,6900.0,0.0
0,39,0,1.664668,0,0,2000.0,0.0
0,59,1,0.8358459999999999,1,0,596.0,0.0
1,54,2,1762.0,0,0,5166.0,1.0
0,37,0,0.31564000000000003,0,0,12000.0,2.0
1,28,0,68.0,0,0,5166.0,0.0
0,40,0,0.09087,0,0,4643.0,2.0
1,54,1,0.268913,0,1,3026.0,1.0
1,41,0,0.19027,2,6,3000.0,1.0
0,60,0,40.0,0,0,5166.0,0.0
0,31,0,0.134179,0,0,2600.0,0.0
0,51,0,1.11785,0,0,1450.0,1.0
0,60,0,0.42671899999999996,0,0,4550.0,0.0
0,51,0,0.31613,0,0,18833.0,0.0
0,69,0,1248.0,0,0,0.0,1.0
0,58,0,54.0,0,0,5166.0,0.0
0,66,0,0.264484,0,0,3175.0,0.0
1,65,0,1.403465,1,0,2423.0,0.0
0,86,0,18.0,0,0,5166.0,0.0
1,40,1,0.405833,1,0,4868.0,2.0
1,51,0,0.287639,1,1,3785.0,0.0
0,33,0,0.067374,0,0,6500.0,2.0
0,45,1,0.611056,0,0,7000.0,1.0
0,45,1,0.635668,0,0,6666.0,2.0
1,32,1,0.507437,0,0,4033.0,0.0
0,58,0,0.95342,0,0,4400.0,1.0
0,61,0,0.646335,0,0,1950.0,0.0
0,47,0,0.49812399999999996,0,0,5329.0,3.0
0,82,0,175.0,0,0,5166.0,0.0
1,74,1,1.157397,0,0,2750.0,0.0
0,62,0,0.40031300000000003,0,0,3199.0,0.0
0,51,0,2.210114,0,0,1660.0,0.0
